"Date","Cost","Rate","Percent","Amount","Money"
"2000.01.04",1059.04,30.97,"+3.01%",195898,3771013
"2000.01.05",986.31,72.73,"-6.87%",257696,4798126
"2000.01.06",960.79,25.52,"-2.59%",203523,3726898
"2000.01.07",948.65,12.14,"-1.26%",215664,3696686
"2000.01.10",987.24,38.59,"+4.07%",240175,3815038
"2000.01.11",981.33,5.91,"-0.60%",257070,4244168
"2000.01.12",955.01,26.32,"-2.68%",227079,3352483
"2000.01.13",951.05,3.96,"-0.41%",223001,3354503
"2000.01.14",948.03,3.02,"-0.32%",224957,3438219
"2000.01.17",983.27,35.24,"+3.72%",212058,3390747
"2000.01.18",981.53,1.74,"-0.18%",212080,3416478
"2000.01.19",938.78,42.75,"-4.36%",235726,3375140
"2000.01.20",945.9,7.12,"+0.76%",226684,3170847
"2000.01.21",925.16,20.74,"-2.19%",255135,3495329
"2000.01.24",926.77,1.61,"+0.17%",210413,2826008
"2000.01.25",891.22,35.55,"-3.84%",242591,2674106
"2000.01.26",885.54,5.68,"-0.64%",231146,2733539
"2000.01.27",909.23,23.69,"+2.68%",344911,3766460
"2000.01.28",941.67,32.44,"+3.57%",293137,3858507
"2000.01.31",943.88,2.21,"+0.23%",289435,3669515
"2000.02.01",928.75,15.13,"-1.60%",306143,3931047
"2000.02.02",943.59,14.84,"+1.60%",310406,4284083
"2000.02.03",950.22,6.63,"+0.70%",277121,4398129
"2000.02.07",973.13,22.91,"+2.41%",271765,4367938
"2000.02.08",961.22,11.91,"-1.22%",229490,3574099
"2000.02.09",976.05,14.83,"+1.54%",240446,3821326
"2000.02.10",966.18,9.87,"-1.01%",251614,4328262
"2000.02.11",953.22,12.96,"-1.34%",274780,4189066
"2000.02.14",910.87,42.35,"-4.44%",234180,3495271
"2000.02.15",879.7,31.17,"-3.42%",218598,3165602
"2000.02.16",879.5,0.2,"-0.02%",214045,3066447
"2000.02.17",897.52,18.02,"+2.05%",212421,3225718
"2000.02.18",879.14,18.38,"-2.05%",258281,4154668
"2000.02.21",845.32,33.82,"-3.85%",213794,2640729
"2000.02.22",850.02,4.7,"+0.56%",244389,2936447
"2000.02.23",880.67,30.65,"+3.61%",346449,4007155
"2000.02.24",867.37,13.3,"-1.51%",256688,2912720
"2000.02.25",864.76,2.61,"-0.30%",255182,2917014
"2000.02.28",819.01,45.75,"-5.29%",253125,2925441
"2000.02.29",828.38,9.37,"+1.14%",275728,3379940
"2000.03.02",894.66,66.28,"+8.00%",317753,4338609
"2000.03.03",894.83,0.17,"+0.02%",311250,4498416
"2000.03.06",909.33,14.5,"+1.62%",352623,4073945
"2000.03.07",907.34,1.99,"-0.22%",339274,3729763
"2000.03.08",915.94,8.6,"+0.95%",313736,3605247
"2000.03.09",884.59,31.35,"-3.42%",370033,4477184
"2000.03.10",891.36,6.77,"+0.77%",330623,3896806
"2000.03.13",854.66,36.7,"-4.12%",364402,3971215
"2000.03.14",846.74,7.92,"-0.93%",330753,3361891
"2000.03.15",837.53,9.21,"-1.09%",312898,3309113
"2000.03.16",841.22,3.69,"+0.44%",298875,3012746
"2000.03.17",855.57,14.35,"+1.71%",300844,3267227
"2000.03.20",850.51,5.06,"-0.59%",227934,2537959
"2000.03.21",863.41,12.9,"+1.52%",227937,2715598
"2000.03.22",882.43,19.02,"+2.20%",296027,3944934
"2000.03.23",867.62,14.81,"-1.68%",254907,3356012
"2000.03.24",889.24,21.62,"+2.49%",281925,3913616
"2000.03.27",886.71,2.53,"-0.28%",282359,3725573
"2000.03.28",891.29,4.58,"+0.52%",262748,3794357
"2000.03.29",908.51,17.22,"+1.93%",280750,4200497
