"Date","Cost"
"2004.04.12","1141.80"
"2004.04.13","1141.10"
"2004.04.14","1151.30"
"2004.04.16","1160.10"
"2004.04.19","1153.60"
"2004.04.20","1151.40"
"2004.04.21","1154.80"
"2004.04.22","1159.70"
"2004.04.23","1158.30"
"2004.04.26","1155.00"
"2004.04.27","1152.00"
"2004.04.28","1156.40"
"2004.04.29","1170.70"
"2004.04.30","1173.30"
"2004.05.03","1171.80"
"2004.05.04","1169.80"
"2004.05.06","1166.10"
"2004.05.07","1171.10"
"2004.05.10","1183.10"
"2004.05.11","1188.30"
"2004.05.12","1181.50"
"2004.05.13","1185.50"
"2004.05.14","1187.00"
"2004.05.17","1183.50"
"2004.05.18","1182.00"
"2004.05.19","1173.40"
"2004.05.20","1179.80"
"2004.05.21","1175.30"
"2004.05.24","1177.20"
"2004.05.25","1177.70"
"2004.05.27","1169.80"
"2004.05.28","1165.00"
"2004.05.31","1160.10"
"2004.06.01","1160.60"
"2004.06.02","1164.80"
"2004.06.03","1164.40"
"2004.06.04","1163.80"
"2004.06.07","1159.20"
"2004.06.08","1157.90"
"2004.06.09","1154.20"
"2004.06.10","1159.40"
"2004.06.11","1164.00"
"2004.06.14","1162.40"
"2004.06.15","1163.40"
"2004.06.16","1157.10"
"2004.06.17","1157.30"
"2004.06.18","1160.00"
"2004.06.21","1156.70"
"2004.06.22","1158.40"
"2004.06.23","1159.90"
"2004.06.24","1155.70"
"2004.06.25","1149.80"
"2004.06.28","1152.50"
"2004.06.29","1151.90"
"2004.06.30","1155.50"
"2004.07.01","1152.70"
"2004.07.02","1155.10"
"2004.07.05","1152.70"
"2004.07.06","1154.90"
"2004.07.07","1152.00"
"2004.07.08","1150.00"
"2004.07.09","1149.30"
"2004.07.12","1147.60"
"2004.07.13","1149.80"
"2004.07.14","1153.00"
"2004.07.15","1160.90"
"2004.07.16","1164.50"
"2004.07.19","1157.50"
"2004.07.20","1160.70"
"2004.07.21","1159.00"
"2004.07.22","1162.40"
"2004.07.23","1166.20"
"2004.07.26","1161.30"
"2004.07.27","1164.80"
"2004.07.28","1167.40"
"2004.07.29","1168.30"
"2004.07.30","1170.00"
"2004.08.02","1164.80"
"2004.08.03","1165.00"
"2004.08.04","1167.60"
"2004.08.05","1163.40"
"2004.08.06","1162.60"
"2004.08.09","1156.30"
"2004.08.10","1155.00"
"2004.08.11","1159.70"
"2004.08.12","1157.80"
"2004.08.13","1162.30"
"2004.08.16","1159.10"
"2004.08.17","1157.60"
"2004.08.18","1157.80"
"2004.08.19","1155.10"
"2004.08.20","1154.30"
"2004.08.23","1153.20"
"2004.08.24","1156.00"
"2004.08.25","1156.40"
"2004.08.26","1153.70"
"2004.08.27","1153.00"
"2004.08.30","1154.50"
"2004.08.31","1153.00"
"2004.09.01","1151.70"
"2004.09.02","1150.50"
"2004.09.03","1150.00"
"2004.09.06","1152.80"
"2004.09.07","1150.80"
"2004.09.08","1149.60"
"2004.09.09","1145.10"
"2004.09.10","1145.80"
"2004.09.13","1145.00"
"2004.09.14","1145.10"
"2004.09.15","1144.10"
"2004.09.16","1145.80"
"2004.09.17","1146.50"
"2004.09.20","1146.20"
"2004.09.21","1146.90"
"2004.09.22","1144.20"
"2004.09.23","1146.30"
"2004.09.24","1149.30"
"2004.09.30","1151.80"
"2004.10.01","1148.60"
"2004.10.04","1149.60"
"2004.10.05","1148.60"
"2004.10.06","1152.50"
"2004.10.07","1150.10"
"2004.10.08","1147.90"
"2004.10.11","1146.00"
"2004.10.12","1146.00"
"2004.10.13","1147.10"
"2004.10.14","1144.50"
"2004.10.15","1145.40"
"2004.10.18","1143.60"
"2004.10.19","1145.00"
"2004.10.20","1142.80"
"2004.10.21","1141.10"
"2004.10.22","1140.50"
"2004.10.25","1136.20"
"2004.10.26","1133.50"
"2004.10.27","1128.90"
"2004.10.28","1125.00"
"2004.10.29","1119.60"
"2004.11.01","1119.00"
"2004.11.02","1114.80"
"2004.11.03","1116.20"
"2004.11.04","1113.50"
"2004.11.05","1110.50"
"2004.11.08","1105.20"
"2004.11.09","1103.50"
"2004.11.10","1110.40"
"2004.11.11","1112.10"
"2004.11.12","1104.50"
"2004.11.15","1092.00"
"2004.11.16","1090.30"
"2004.11.17","1081.40"
"2004.11.18","1065.40"
"2004.11.19","1068.70"
"2004.11.22","1065.30"
"2004.11.23","1065.80"
"2004.11.24","1066.60"
"2004.11.25","1057.20"
"2004.11.26","1047.00"
"2004.11.29","1047.00"
"2004.11.30","1048.00"
"2004.12.01","1046.00"
"2004.12.02","1041.50"
"2004.12.03","1045.30"
"2004.12.06","1040.80"
"2004.12.07","1041.80"
"2004.12.08","1058.50"
"2004.12.09","1055.30"
"2004.12.10","1067.50"
"2004.12.13","1061.80"
"2004.12.14","1058.00"
"2004.12.15","1061.00"
"2004.12.16","1056.30"
"2004.12.17","1060.00"
"2004.12.20","1058.20"
"2004.12.21","1055.50"
"2004.12.22","1053.50"
"2004.12.23","1050.50"
"2004.12.24","1047.50"
"2004.12.27","1046.40"
"2004.12.28","1042.40"
"2004.12.29","1041.00"
"2004.12.30","1041.80"
"2004.12.31","1035.00"
"2005.01.03","1038.10"
"2005.01.04","1038.70"
"2005.01.05","1046.30"
"2005.01.06","1058.50"
"2005.01.07","1051.00"
"2005.01.10","1053.60"
"2005.01.11","1045.00"
"2005.01.12","1042.10"
"2005.01.13","1036.60"
"2005.01.14","1042.80"
"2005.01.17","1035.70"
"2005.01.18","1035.70"
"2005.01.19","1030.90"
"2005.01.20","1033.10"
"2005.01.21","1038.00"
"2005.01.24","1032.20"
"2005.01.25","1031.30"
"2005.01.26","1031.60"
"2005.01.27","1028.50"
"2005.01.28","1024.10"
"2005.01.31","1025.50"
"2005.02.01","1027.80"
"2005.02.02","1027.80"
"2005.02.03","1025.10"
"2005.02.04","1026.70"
"2005.02.07","1026.20"
"2005.02.11","1033.20"
"2005.02.14","1025.10"
"2005.02.15","1026.50"
"2005.02.16","1026.20"
"2005.02.17","1025.60"
"2005.02.18","1024.10"
"2005.02.21","1023.20"
"2005.02.22","1006.50"
"2005.02.23","1003.80"
"2005.02.24","1006.50"
